"SITECODE","DESIGNATIONCODE","DESIGNATEDSITENAME","OVERLAPCODE","OVERLAPPERC"
"DE7015441","DE02","Bremengrund","+",3.58
"DE7015441","DE07","Rheinniederung zwischen Insel Aubügel und Neuburgweier","*",10.03
"DE7016341","DE00","","+",28.5
"DE7016341","DE02","","",0.87
"DE7016341","DE07","Hardtwald bei Ettlingen und Rheinstetten","*",53.72
"DE7016342","DE02","Albtal und Seitentäler","*",0.04
"DE7016342","DE07","Grünwettersbacher Wald-Hatzengraben","*",16.47
"DE7016342","DE07","Waldbronner Albgau","*",11.9
"DE7016343","DE02","Erlachsee","+",2.74
"DE7016343","DE07","Oberwald","*",66.19
"DE7017341","DE02","Ellmendinger Roggenschleh","*",1.18
"DE7017341","DE07","Gengenbachtal und Dolinenlandschaft südlich Göbrichen","*",8.93
"DE7018341","DE00","","",0.46
"DE7018341","DE02","Aalkistensee","*",0.42
"DE7018341","DE02","Schützinger Spiegel","+",0.12
"DE7018341","DE07","Ausläufer des Stromberges um Bönnigheim, Erligheim, Freudent","*",6.21
"DE7018341","DE07","Mettertal zw.Gündelbach u. Sersheim, Streitenbachtal, Steinb","*",6.34
"DE7018341","DE07","Seehau, Eselsburg, Bartenberg und Ensinger See mit angrenzen","*",0.97
"DE7018342","DE00","","",39.75
"DE7018342","DE02","","",19.55
"DE7018342","DE02","Bauschlotter Au","*",5.77
"DE7018342","DE02","Großglattbacher Riedberg","*",0.73
"DE7018342","DE02","Neulinger Dolinen","*",0.39
"DE7018342","DE05","Schwarzwald Mitte/Nord","*",0
"DE7018342","DE07","","",34.06
"DE7018342","DE07","Enztalschlingen","*",6.35
"DE7018342","DE07","Gengenbachtal und Dolinenlandschaft südlich Göbrichen","*",0.62
"DE7018401","DE05","","",100
"DE7018401","DE07","","",0
"DE7019441","DE02","Felsengärten Mühlhausen","*",1.95
"DE6823441","DE07","Kochertal zwischen Schwäbisch Hall und Weilersbach mit Neben","*",11.21
"DE6823441","DE07","Oberes Bühlertal mit Nebentälern und angrenzenden Gebieten","*",0.26
"DE6823441","DE07","Ostabfall des Mainhardter Waldes mit Teilen des Kochertales","*",3.67
"DE6824341","DE00","","",22.07
"DE6824341","DE02","Grimmbachmündung","*",0.37
"DE6825341","DE02","Jagsttal mit Seitentälern zwischen Crailsheim und Kirchberg","*",54.72
"DE6825341","DE07","Jagstaue bei der ehemaligen Lohmühle in Kirchberg/Jagst","/",0
"DE6833371","DE02","Märzenbecherwald bei Ettenstadt","+",0
"DE6833372","DE07","","",0
"DE6834301","DE02","Albtrauf bei Pollanten","+",0
"DE6841371","DE05","","",0
"DE6843371","DE05","","",0
"DE6843371","DE05","Oberer Bayer. Wald","",0
"DE6844301","DE02","","",0
"DE6844301","DE02","Arracher Moor","+",0
"DE6844373","DE02","","",0
"DE6844373","DE02","Großer Arbersee und Arberseewand","+",0
"DE6844373","DE02","Riesloch","+",0
"DE6914301","DE02","Jockgrimer Tongruben","+",0.4
"DE6914301","DE02","Lauterniederung","+",1.53
"DE6914301","DE02","Riedried","+",0.18
"DE6914301","DE07","Pfälzische Rheinauen","*",8.35
"DE6914401","DE02","","",11.19
"DE6914401","DE02","Lauterniederung","+",1.27
"DE6914401","DE07","","",91.47
"DE6914401","DE07","Erlenbachwiesen-Rote Hecke","*",0.06
"DE6915301","DE02","","",35.16
"DE6915403","DE02","Stixwörth","*",19.01
"DE6915403","DE07","Pfälzische Rheinauen","*",87.21
"DE6916341","DE02","Alter Flugplatz Karlsruhe","=",100
"DE6916342","DE00","","+",0.25
"DE6916342","DE02","Kohlplattenschlag","+",1.04
"DE6916342","DE07","Heglachaue","/",0
"DE6916342","DE07","Nördliche Hardt","*",36.27
"DE6916441","DE02","Wilhelmsäcker","*",0.06
"DE6916441","DE07","Hardtwald nördlich von Karlsruhe","*",62.49
"DE6916441","DE07","Heglachaue","/",0
"DE6916441","DE07","Wilhelmsäcker","/",0
"CZ0310032","CZ05","","",0
"CZ0310032","CZ05","Čertova stěna-Luč","*",0
"CZ0310033","CZ04","Vlásenický potok","*",21.91
"CZ0310033","CZ05","","",2.52
"CZ0311036","CZ05","","",90.15
"CZ0311036","CZ05","Kameník","*",40.7
"CZ0311037","CZ02","Mokřiny u Vomáčků","+",0.97
"CZ0311037","CZ02","Vrbenské rybníky","*",4.93
"CZ0311037","CZ04","Hlubocké hráze","*",0.03
"CZ0311037","CZ04","Velký Karasín","+",0.17
"CZ0311039","CZ01","Žofínský prales","+",1.12
"CZ0311039","CZ02","Rapotická březina","*",0.18
"CZ0311039","CZ04","","",15.84
"CZ0311039","CZ04","U tří můstků","+",0.09
"CZ0311039","CZ05","Hojná voda","+",0.09
"CZ0311039","CZ05","Myslivna","+",0.1
"CZ0311039","CZ05","Pivonické skály","+",0.03
"CZ0311039","CZ05","Pohořské rašeliniště","+",0.18
"CZ0311039","CZ05","U tří můstků","+",0.08
"CZ0311039","CZ05","Žofínský prales","+",0.32
"CZ0311039","CZ12","","",99.88
"CZ0311039","CZ12","Novohradské hory","*",99.88
"CZ0311040","CZ03","Blanice","*",0.47
"CZ0311040","CZ09","","",57.03
"CZ0311041","CZ01","Černé a Čertovo jezero","*",0.21
"CZ0311041","CZ02","Brčálnické mokřady","+",0.05
"CZ0311041","CZ02","Nebe","+",0.01
"CZ0311041","CZ02","Poustka","*",0
"CZ0311041","CZ02","Svobodova niva","*",0
"CZ0311041","CZ04","Jelení vrch","+",0.01
"DE7021342","DE02","Neckarhalde","+",2.82
"DE7021401","DE02","","",96.57
"DE7021401","DE02","Altneckar","*",80.47
"DE7024341","DE07","","",59.83
"DE7024341","DE07","Glattenzain- und Rauhenzain- sowie Dappachtal","*",0.19
"DE7024341","DE07","Oberstes Rottal mit Seitentälern und Umgebung","*",0.01
"DE7024341","DE07","Rötenberg-Rötenbachtal","*",0.08
"DE7025341","DE07","Oberes Bühlertal und Umgebung","*",3.02
"DE7026341","DE07","Frankenbachtal","*",2.17
"DE7029302","DE02","Auwald bei Westheim","=",100
"DE7031371","DE02","Schambachried","+",0
"DE7036371","DE02","Wolfsberg bei Dietfurt","*",0
"DE7036371","DE05","","",0
"DE7036372","DE11","","+",0
"DE7037471","DE02","Klamm und Kastlhänge","+",0
"DE7037471","DE02","Wolfsberg bei Dietfurt","*",0
"DE7040371","DE02","Pfatterer Au","+",0
"DE7040471","DE02","Donauauen bei Stadldorf","+",0
"DE7043371","DE11","","",0
"DE7045371","DE05","","",0
"DE7125341","DE07","Grießweiher - Eichenhain bei Neuler","*",0.89
"DE7126401","DE07","","",0
"DE7127341","DE02","Ipf","/",0
"DE7127341","DE07","Tonnenberg und Karkstein mit östlicher Barnberghalde (Barnho","/",0
"DE7128341","DE00","","",40.36
"DE7128341","DE07","","",37.26
"DE7128371","DE02","Ofnethöhlen bei Holheim","+",0
"DE7130471","DE02","Naßwiesen Lierenfeld","*",0
"DE7132371","DE02","Arnsberger Leite","+",0
"DE6037371","DE02","","",0
"DE6037372","DE05","","",0
"DE6037372","DE07","Fichtelgebirge","",0
"DE6040371","DE02","","",0
"DE6105301","DE02","","",5.15
"DE6105301","DE02","Hang am Hohengöbel bei Kimmlingen","+",5.15
"DE6107301","DE07","","",100
"DE6108301","DE07","Moseltal","*",0.14
"DE6109303","DE02","Engelswäsgeswiese","+",0.73
"DE6109303","DE02","Hangbrücher bei Morbach","+",11.26
"DE6113301","DE07","","",1.07
"DE6116303","DE02","","",100
"DE6116450","DE02","Großes Michelried bei Erfelden","+",0.37
"DE6116450","DE02","Kühkopf-Knoblochsaue","+",38.15
"DE6116450","DE02","Schmalwert von Biebesheim","+",0.6
"DE6116450","DE07","Hessische Rheinuferlandschaft","*",4.51
"DE6117301","DE02","","",100
"DE6117301","DE02","Griesheimer Düne und Eichwäldchen","=",100
"DE6117304","DE02","Ehemaliger August-Euler-Flugplatz","=",100
"DE6117308","DE07","Landschaftsschutzgebiet Stadt Darmstadt","-",100
"DE6117310","DE02","Torfkaute-Bannholz von Dornheim-Wolfskehlen","/",0
"DE6117401","DE02","Griesheimer Düne und Eichwäldchen","+",15.35
"DE6118304","DE02","Darmbachaue von Darmstadt","+",21.04
"DE6119401","DE02","Scheelhecke von Gross-Zimmern","+",0.12
"DE6119401","DE02","Taubensemd von Habitzheim, Semd und Groß-Umstadt","+",0.99
"DE6119401","DE07","","",46.37
"DE6119402","DE02","","",41
"DE6119402","DE07","Bergstraße-Odenwald","-",100
"DE6121371","DE02","","",0
"DE6121371","DE02","Feuchtwiesen im Sulzbachtal","+",0
"DE6121371","DE02","Mainaue bei Sulbach und Kleinwallstadt","+",0
"DE6121372","DE02","","",100
"DE6123371","DE02","","",0
"DE6917311","DE07","Michaelsberg - Eichelberg","*",11.19
"DE6917311","DE07","Michaelsberg und Habichtsbuckel","+",0.07
"DE6918311","DE00","","+",67.83
"DE6918311","DE02","","",16.18
"DE6918311","DE02","Kleiner Kraichbach","+",3.69
"DE6918311","DE02","Ritterbruch","+",0.17
"DE6918311","DE07","","",15.43
"DE6918311","DE07","Gölshausener Niederung (2 Teilgebiete)","/",0
"DE6918311","DE07","Seegrund","/",0
"DE6919441","DE02","Schützinger Spiegel","+",0.14
"DE6919441","DE02","Unterer See und Umgebung","*",0.59
"DE6919441","DE07","Ausläufer des Stromberges um Bönnigheim, Erligheim, Freudent","*",7.11
"DE6919441","DE07","Füllmenbacher Hofberg","+",0.41
"DE6919441","DE07","Kirchbachtal","*",3.18
"DE6919441","DE07","Michaelsberg","*",0.7
"DE6924341","DE00","","",15.59
"DE6924341","DE02","","",32.96
"DE6924341","DE07","","",50.25
"DE6924341","DE07","Bühlertal zwischen Vellberg und Geislingen mit Nebentälern u","*",43.87
"DE6924342","DE00","","",10.12
"DE6926341","DE00","","",29.13
"DE6926341","DE02","Jagsttal mit Seitentälern zwischen Crailsheim und Kirchberg","/",0
"DE6926341","DE07","Jagstufer Heldenmühle bis zur Tiefenbacher Strasse","*",0.53
"DE6926341","DE07","Lerchenberg-Hahnenberg","*",2.01
"DE6927341","DE00","","",51.18
"DE6927341","DE02","","",12.82
"DE6927341","DE02","Breitweiher mit Hilsenweiher","*",2.21
"DE6927341","DE07","","",36.02
"DE6927341","DE07","Beißerweiher, Wegweiher, Moosweiher, Gießrechenweiher, Weihe","*",3.17
"DE6927341","DE07","Brettenweiher mit umgebendem Gelände","*",0.62
"DE6929371","DE07","","",100
"DE6932301","DE05","","",0
"DE6935371","DE02","","",0
"DE6935371","DE02","Tal der Weißen Laaber bei Deining","+",0
"DE6935371","DE02","Weiße Laaber bei Waltersberg","+",0
"DE6935371","DE03","","",0
"DE6937301","DE02","Greifenberg und Waltenhofener Hänge","+",0
"DE6940371","DE05","Oberer Bayerischer Wald","",0
"DE6941301","DE02","","",0
"DE6941301","DE02","Hammerweihermoor","+",0
"DE6946301","DE01","","",100
"DE6027471","DE02","Alter Main bei Bergrheinfeld und Grafenrheinfeld","+",0.68
"DE6027471","DE02","Mainaue zwischen Sommerach und Köhler","+",3.03
"DE6027471","DE02","Saumain in der Stadt Schweinfurt","+",0.39
"DE6027471","DE02","Spitalholz bei Gochsheim","+",0.85
"DE6027471","DE03","LB Sauerstücksee und Hirtenbachaue mit Umgebung","*",1.17
"DE6027472","DE03","LB Pfeifengraswiese am Spiesheimer Weg","+",0
"DE6027472","DE03","LB Streuobstwiese am Graben","*",0
"DE6029371","DE02","NWR Brunnstube","+",0
"DE6029371","DE02","Spitalgrund-Oberes Volkachtal","+",0
"DE6029371","DE02","Tretzendorfer Weiher","+",0
"DE6029371","DE02","Weilersbach","+",0
"DE6029373","DE02","","",0
"DE6029471","DE02","Naturwaldreservat Zwerchstück","+",0
"DE6029471","DE02","NWR Mordgrund","+",0
"DE6029471","DE02","Schulterbachtal","+",0
"DE6029471","DE02","Weilersbachtal","+",0
"DE6030302","DE02","Vogelfreistätte Graureiherkolonie Dippach am Main","+",0
"DE6031371","DE02","Maintalarm bei Dörfleins","+",0
"DE6032371","DE03","LB Ellernbach südöstl. von ...","*",0
"DE6034301","DE02","Teufelsloch","+",0
"DE6932301","DE05","Altmühltal","*",0
"DE6937301","DE02","","",0
"DE6937301","DE02","Westliche Naabtalhänge bei Pielenhofen","+",0
"DE6937301","DE07","","",0
"DE6937371","DE02","","",0
"DE6937371","DE02","Buch- und Helmberg bei Münster","+",0
"DE6937371","DE07","","",0
"DE6938301","DE02","","",0
"DE6938301","DE02","Max-Schultze-Steig","+",0
"DE6938301","DE02","Südöstl. Juraausläufer bei Regensburg","+",0
"DE6939302","DE02","","",0
"DE6941302","DE02","","",0
"DE6944302","DE02","Stockwiesen bei Schollenried","+",0
"DE6946401","DE02","Johannisruh","+",0
"DE6946401","DE02","Kleiner Falkenstein","+",0
"DE6946401","DE02","Mittelsteighütte am Zwieseler Waldhaus","+",0
"DE6946401","DE02","Ruckowitzhänge und Langschachten","+",0
"DE7015341","DE00","","",21.6
"DE7015341","DE02","Altrhein Maxau","*",0.62
"DE7015341","DE02","Bremengrund","+",1.4
"DE7019441","DE02","Kammertenberg","+",3.25
"DE7019441","DE07","Enztal zwischen Vaihingen-Roßwag und dem Leinfelder Hof","*",27.91
"DE7019441","DE07","Enztalschlingen","*",49.06
"DE7021341","DE02","","",1.51
"DE7021341","DE07","Hardtwald, Kaisersbachtal, Rohrbachtal, Benning und Harzberg","*",1.49
"DE7021341","DE07","Schmidbachtal - Oberes Bottwartal mit Seitentälern und umgeb","*",5.67
"DE7021341","DE07","Steinknickle","*",0.05
"DE7021342","DE02","Lauffener Neckarschlinge","*",3.94
"DE6812401","DE05","Naturpark Pfälzerwald","-",100
"DE6812401","IN03","Pfälzerwald-Nordvogesen deutscher Teil","-",100
"DE6814301","DE02","","",99.09
"DE6814302","DE07","","",31.2
"DE6815401","DE07","","",100
"DE6815401","DE07","Pfälzische Rheinauen","-",100
"DE6816301","DE02","","",47.65
"DE6816301","DE07","Pfälzische Rheinauen","*",91.65
"DE6816341","DE02","Altrhein Kleiner Bodensee","+",4.66
"DE6816341","DE02","Altrhein-Königsee","+",0.25
"DE6816341","DE02","Rußheimer Altrhein-Elisabethenwört","+",11.56
"DE6816341","DE07","Hochgestade westlich von Graben","*",0.03
"DE6816341","DE07","Weinges Erlich","*",2.69
"DE6816401","DE02","Altrhein-Königsee","+",0.23
"DE6816401","DE07","","",36.7
"DE6816402","DE02","","",35.88
"DE6816402","DE07","","",80.62
"DE6816402","DE07","Pfälzische Rheinauen","*",80.62
"DE6816403","DE07","Pfälzische Rheinauen","-",100
"DE6817441","DE07","Saalbachniederung","*",97.53
"DE6820311","DE00","","+",40.07
"DE6820311","DE02","Frankenbacher Schotter","*",0.52
"DE6820311","DE07","Leintal mit Seitentälern und angrenzenden Gebieten","*",0.76
"DE6820311","DE07","Ravensburg und Alter Berg","*",0
"DE6820311","DE07","Rotbachtal","*",1.13
"DE6823441","DE02","Vogelhalde Sindringen-Ohrnberg","*",3.54
"DE6823441","DE07","Bühlertal zwischen Bühlertann und Obersontheim mit Randgebie","*",0.42
"DE6823441","DE07","Burgfrieden - Oberes Dachsbachtal","*",0.15
"DE6823441","DE07","Hackklinge mit Seitentälern, Kocheraue und Kochertalhang","*",0.51
"DE6823441","DE07","Kochertal bei Kocherstetten","*",3.11
"CZ0310035","CZ05","Český Jílovec","*",0.72
"CZ0310057","CZ04","","",69.14
"CZ0310057","CZ04","Pohořské rašeliniště","*",25.65
"CZ0310057","CZ04","Stodůlecký vrch","*",31.7
"CZ0310057","CZ05","","",9.29
"CZ0310057","CZ05","U tří můstků","*",1.36
"CZ0310057","CZ12","","",99.97
"CZ0310063","CZ04","","",100
"CZ0310063","CZ04","Pastvina u Přešťovic","=",100
"CZ0310073","CZ04","Králek","*",99.83
"CZ0310073","CZ05","Králek","*",0.17
"CZ0310080","CZ02","Dvořiště","*",87.64
"CZ0310084","CZ04","Nerestský lom","+",98.64
"CZ0310163","CZ01","","",22.45
"CZ0310163","CZ05","Pivonické skály","+",0.51
"CZ0310605","CZ09","Třeboňsko","-",100
"CZ0310610","CZ05","","",0.38
"CZ0310610","CZ09","","",100
"CZ0310610","IN03","Třeboňsko","-",100
"CZ0310611","CZ02","","",100
"CZ0310611","CZ02","Široké blato","-",100
"CZ0310611","CZ09","","",99.89
"CZ0310615","IN03","","",100
"CZ0310629","CZ04","","",100
"CZ0310630","CZ04","","",100
"CZ0311033","CZ01","Velký a Malý Tisý","*",1.18
"CZ0311033","CZ02","","",2.83
"CZ0311033","CZ02","Na Ivance","+",0.28
"CZ0311033","CZ02","Rod","+",0.08
"CZ0311033","CZ02","Rybníky u Vitmanova","+",0.43
"CZ0311033","CZ02","Široké blato","*",0.26
"CZ0311033","CZ02","Výtopa Rožmberka","+",0.43
"CZ0311033","CZ04","Pískovna u Dračice","+",0.02
"CZ0311033","CZ05","Dračice","*",0.08
"CZ0311033","CZ05","Fabián","+",0.51
"CZ0311033","CZ05","Horusická blata","*",0.02
"CZ0311033","CZ05","Lhota u Dynína","+",0.02
"CZ0311033","CZ05","Rod","+",0.03
"CZ0311033","CZ05","Rybníky u Vitmanova","+",0.06
"CZ0311033","CZ05","Záblatské louky","*",0.06
"CZ0311033","CZ12","","",3.99
"CZ0311033","IN00","","",18.58
"CZ0311033","IN00","Třeboňská rašeliniště","*",0.89
"CZ0311034","CZ02","Dědovické stráně","+",0.06
"CZ0311034","CZ04","","",0.11
"CZ0311034","CZ04","Dubná","+",0.01
"CZ0311034","CZ04","Vystrkov","+",0.02
"CZ0311034","CZ05","Výří skály u Oslova","*",0.06
"CZ0311035","CZ01","","",96.66
"CZ0311035","CZ01","Řežabinec a Řežabinecké tůně","*",96.66
"CZ0311036","CZ02","Libochovka","+",2.31
"CZ0311036","CZ04","Baba","*",0.2
"DE7114311","DE00","","",17.5
"DE7114311","DE02","Stollhofener Platte","*",7.17
"DE7114311","DE07","Iffezheimer Sanddünen","*",2.63
"DE7114311","DE07","Lichtenauer Rheinniederung","*",4.32
"DE7114311","DE07","Rastatter Ried","*",0.08
"DE7114441","DE07","Lichtenauer Rheinniederung","*",4.16
"DE7116341","DE02","","",22.59
"DE7116341","DE05","Schwarzwald Mitte/Nord","-",100
"DE7116341","DE07","Albtalplatten und Herrenalber Berge","*",53.88
"DE7116341","DE07","Bottenberg","*",0.2
"DE7116341","DE07","Karlsbader Bachlandschaften","*",1.41
"DE7116342","DE02","Glasbächle, Krebsbächle und Farlickwiesen","*",5.51
"DE7116342","DE05","","",74.2
"DE7116342","DE07","","",30.38
"DE7116342","DE07","Albtalplatten und Herrenalber Berge","*",0.38
"DE7116342","DE07","Vorbergzone zwischen Ettlingenweier und Malsch, Mohrenwiesen","*",7.92
"DE7117341","DE02","","",33.18
"DE7117341","DE02","Pfinzquellen","*",26.66
"DE7117341","DE05","Schwarzwald Mitte/Nord","*",96.06
"DE7117341","DE07","","",23.34
"DE7117341","DE07","Bocksbachtal","*",3.69
"DE7117341","DE07","Gräfenhausener Kirschgäu","*",6.62
"DE7118341","DE02","","",14.82
"DE7118341","DE07","Landschaftsschutzgebiet für den Stadtkreis Pforzheim","*",48.59
"DE7118341","DE07","Neuhausen-Biet","*",8.23
"DE7119341","DE02","","",8.53
"DE7119341","DE02","Kalkofen","*",2.72
"DE7119341","DE07","Glemstal zwischen Schwieberdingen und Markgröningen mit Rand","*",0.59
"DE7121341","DE00","","+",5.68
"DE7121341","DE02","","",35.49
"DE7121341","DE05","","",20.47
"DE7121341","DE07","Unteres Murrtal","*",0.36
"DE7121442","DE02","Unteres Remstal","*",27.45
"DE7121442","DE07","Unteres Remstal mit Randgebieten","*",20.31
"DE7123341","DE02","Leintal zwischen Leinecksee und Leinhäusle","*",20.62
"DE7123341","DE02","Rot- und Seebachtal","*",1.59
"DE7123341","DE02","Steinhäusle","+",2.14
"DE7123341","DE02","Wiesentäler bei der Menzlesmühle","*",5.83
"DE7123341","DE07","Frickenhofer Höhe","*",0.6
"DE7123441","DE07","Ottilienberg","/",0
"DE7125341","DE00","","",54.16
"DE6124371","DE02","Berg bei Unterleinach","+",0
"DE6124372","DE03","LB Hönigweinberg","*",0
"DE6127371","DE02","Alter Main bei Volkach","+",0
"DE6127371","DE02","Astheimer Dürringswasen","+",0
"DE6127371","DE02","Elmuß","+",0
"DE6127371","DE02","Rechtes Mainufer bei Sommerach","+",0
"DE6127371","DE02","Wald an der Hallburg","+",0
"DE6131371","DE02","Sandgrasheide bei Pettstadt","+",0
"DE6135301","DE02","Craimoosweiher","=",100
"DE6135302","DE04","","",0
"DE6137301","DE02","Hirschberg- und Heidweiher in der Gabellohe","+",0
"DE6139371","DE02","Waldnaabtal","",0
"DE6205301","DE02","Auf der First bei Fusenich","+",3.3
"DE6205301","DE02","Kelterdell und Kuckuckslay bei Echternacherbrück","+",3.3
"DE6205301","DE05","","",56.04
"DE6205303","DE07","","",41.74
"DE6206301","DE07","","",0.58
"DE6208302","DE02","Hilsbruch","+",0.26
"DE6208302","DE02","Langbruch","+",1.42
"DE6208302","DE02","Riedbruch","+",3.49
"DE6208302","DE05","Naturpark Saar-Hunsrück","-",100
"DE6208302","DE07","Hochwald-Idarwald mit Randgebieten","*",76.14
"DE6210401","DE02","","",9.06
"DE6210401","DE02","Fischbacher Felsen","+",0.24
"DE6210401","DE02","Lemberg","+",1.82
"DE6210401","DE02","Nahetal von Boos bis Niederhausen","*",0.73
"DE6210401","DE02","Trübenbachtal","+",0.14
"DE6210401","DE05","Soonwald-Nahe","*",39.78
"DE6210401","DE07","Nahetal","*",21.35
"DE6210401","DE07","Soonwald","*",1.81
"DE6212303","DE02","Höll-Martinsberg","+",0.37
"DE6212303","DE02","Saukopf und Fichtekopf","+",0.26
"DE6212303","DE02","Wingertsberg","+",0.02
"DE6212303","DE05","Soonwald-Nahe","*",69.69
"DE6212303","DE07","Hoxbach-, Ellerbach- und Gräfenbachtal","*",11.68
"DE6212303","DE07","Soonwald","*",3.43
"DE6216302","DE07","Rheinhessisches Rheingebiet","-",100
"DE6216450","DE02","Steiner Wald von Nordheim","+",12.88
"DE6917311","DE00","","+",51.82
"DE6917311","DE07","","",32.79
"DE6917311","DE07","Füllbruch - Vokkenau","*",4.29
"DE6917311","DE07","Grötzinger Bergwald - Knittelberg","*",0
"DE6946301","DE01","Nationalpark Bayerischer Wald","=",100
"DE6946301","DE02","","",0
"DE6946301","DE02","Filze und Hochschachten","+",0
"DE6946301","DE02","Ruckowitzhäng und Langschachten","+",0
"DE7015341","DE00","","+",21.6
"DE7015341","DE02","Auer Köpfle - Illinger Altrhein - Motherner Wörth","*",5.15
"DE7015341","DE02","Rastatter Rheinaue","*",15.29
"DE7015341","DE02","Rottlichwald","*",0.02
"DE7015341","DE02","Silberweidenwald Steinmauern","+",1.24
"DE7015341","DE02","Tieflach und Eichenlach","*",0.11
"DE7015341","DE05","","",0.66
"DE7015341","DE07","Auenwälder und Feuchtwiesen westlich von Ötigheim","*",0.27
"DE7015341","DE07","Rastatter Ried","*",0.89
"DE7015341","DE07","Rheinniederung zwischen Au am Rhein, Durmersheim und Rheinst","*",0.09
"DE7015405","DE02","Neuburger Altrhein, südlicher Teil","+",12.96
"DE7015441","DE02","","",39.87
"DE7015441","DE02","Burgau","*",12.11
"DE7015441","DE07","Altrhein Neuburgweier","*",4.04
"DE7015441","DE07","Burgau","*",2.54
"DE7015441","DE07","Rheinwald","+",13.67
"DE7016341","DE02","Kiesgrube am Hardtwald Durmersheim","/",0
"DE7016341","DE02","Sandgrube im Dreispitz-Mörsch","*",0.87
"DE7016341","DE07","","",70.63
"DE7016341","DE07","Hardtwald südlich von Karlsruhe","*",6.74
"CZ0311041","CZ04","Jezerní luh","+",0.03
"CZ0311041","CZ04","Pramen Vltavy","+",0.01
"CZ0311041","CZ04","Svatý Tomáš","+",0.06
"CZ0311041","CZ04","Trojmezná hora","*",0.39
"CZ0311041","CZ04","Úval Zvonková","+",0.05
"CZ0311041","CZ04","Vltavský luh","*",1.68
"CZ0311041","CZ05","Amálino údolí","*",0.3
"CZ0311041","CZ05","Boubínský prales","*",0.05
"CZ0311041","CZ05","Brčálnické mokřady","+",0
"CZ0311041","CZ05","Černé a Čertovo jezero","*",0.04
"CZ0311041","CZ05","Jelení vrch","+",0.01
"CZ0311041","CZ05","Kepelské mokřady","*",0.01
"CZ0311041","CZ05","Kozí stráň","+",0
"CZ0311041","CZ05","Losenice","+",0.01
"CZ0311041","CZ05","Městišťské rokle","*",0.07
"CZ0311041","CZ05","Modravské slatě","*",0.1
"CZ0311041","CZ05","Nebe","*",0.01
"CZ0313113","CZ12","","",4.7
"CZ0313113","CZ12","Novohradské hory","*",4.7
"CZ0313115","CZ04","","",100
"CZ0313116","CZ02","","",100
"CZ0313116","CZ05","Radomilická mokřina","*",0
"CZ0313119","CZ04","","",100
"CZ0313119","CZ05","Rašeliniště Radlice","*",0
"CZ0313119","CZ12","Javořická vrchovina","-",100
"CZ0313122","CZ05","Štěkeň","*",0.01
"CZ0313125","CZ04","","",59.39
"CZ0313125","CZ05","Tábor - Zahrádka","*",5.4
"CZ0313128","CZ02","Rod","+",5.86
"CZ0313128","CZ02","V Luhu","+",1.64
"DE7132371","DE02","Juratrockenhang zwölf Apostel","+",0
"DE7132471","DE02","","",0
"DE7132471","DE02","Mauerner Höhlen","+",0
"DE7136301","DE02","Weltenburger Enge","+",0
"DE7136304","DE02","","",0
"DE7138372","DE02","","",0
"DE7138372","DE02","Niedermoor südlich Niederleierndorf","+",0
"DE7142301","DE02","","",0
"DE7142301","DE05","Bayerischer Wald","-",100
"DE7142471","DE02","","",0
"DE7142471","DE02","Isarmündung","*",0
"DE7144301","DE02","","",0
"DE7144371","DE05","","-",100
"DE7144372","DE05","","",0
"DE7148301","DE02","Haidfilz","+",0
"DE7214342","DE00","","",42.47
"DE7214342","DE02","Lichtenauer Rheinniederung","/",0
"DE7214342","DE02","Waldhägenich (3 Teilgebiete)","+",12.43
"DE7214342","DE07","Korbmatten - Im Mäthi","*",2.19
"DE7214342","DE07","Lichtenauer Rheinniederung","*",0.06
"DE7214342","DE07","Waldhägenich (3 Teilgebiete)","*",0.66
"DE7215341","DE07","Baden-Baden","*",45.7
"DE7216341","DE05","","",100
"DE7216341","DE07","Michelbachtal","*",9.54
"DE7216341","DE07","Mittleres Murgtal","*",32.41
"DE7216341","DE07","Untere Murg","*",15.02
"DE7217341","DE02","","",68.2
"DE7217341","DE05","Schwarzwald Mitte/Nord","-",100
"DE7218341","DE00","","",7.18
"DE7218341","DE02","Büchelberg","*",2.34
"DE7218341","DE02","Gültlinger und Holzbronner Heiden (8 Teilgebiete)","*",15.71
"DE7218341","DE02","Silberberg","*",0.23
"DE7218341","DE02","Simmozheimer Wald","*",0.58
"DE7218341","DE02","Tiefenbronner Seewiesen","*",2.07
"DE7218341","DE07","Grafenau","*",0.24
"DE7218341","DE07","Gültlinger und Holzbronner Heiden","*",4.45
"DE7218341","DE07","Hecken- und Schlehengäu, Gemarkung Gechingen","*",0.34
"DE7218341","DE07","Monbach, Maisgraben und St. Leonhardquelle (2 Teilgebiete)","*",0.01
"DE7220311","DE00","","+",19.55
"DE7220311","DE02","","",28.31
"DE7220311","DE02","Neuweiler Viehweide","*",0
"DE7220311","DE07","","",53.72
"DE7220311","DE07","Burghalde-Allmendhäule","*",0.01
"DE7220311","DE07","Glemswald","*",1.2
"DE7220311","DE07","LSG 'Glemswald' vom 16.10.1995","*",2.09
"DE7220311","DE07","Reisachmulde-Lemberg","*",0.01
"DE7220311","DE07","Rosensteinpark","*",1.59
"DE7220311","DE07","Waldwiese nördlich der Winterhalde","*",0
"DE7222341","DE07","Manolzweiler","*",0.03
"DE7224311","DE00","","",29.33
"DE7224311","DE02","Spielburg","*",7.69
"DE7224311","DE07","","",56.72
